id,title,details,year,image,source
270,Aircraft Autopilot,for aircraft,1912,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
271,Concept of Isotopes,concept of,1912,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
272,Vitamins,hypothesis of disease deficiency,1912,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
273,Bohr model of an Atom,"proposed current concept of atomic structure, the Bohr model",1913,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
274,Moving assembly line,,1913,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
275,Tank,,1914,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
276,WW1 begins,,1914,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
277,Plate tectonics,,1915,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
278,Einstein publishes theory of GR,,1916,,https://humanhistorytimeline.com/
279,WW1 ends,,1918,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
280,20 Million People die from Influenza Epidemic,,1918,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
281,Isotopes proof,existence demonstrated by mass spectrography,1919,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
282,Proton,,1919,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
283,Prohobition period begins (alcohol ban USA),,1919,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
284,itler forms Nazi party,,1920,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
285,Insulin (first isolated),first isolated,1921,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
286,USSR Forms,,1922,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
287,Insulin (Nobel prize),Nobel Prize awarded for purification for use in humans,1923,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
288,Hitler fails to overthrow government,,1923,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
289,Frozen food,,1924,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
290,Pauli Exclusion principle,no two electrons in an atom can occupy the same energy level,1925,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
291,Mein Kampf published,,1925,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
292,Aerosol can,,1926,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
293,Motion pictures with sound,,1926,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
294,Rocket,liquid-fueled,1926,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
295,Big Bang theory proposed,the universe originated with a huge explosion,1927,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
296,Expanding universe theory proposed,first proposed,1927,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
297,Uncertainty principle,"that position and velocity of an object cannot both be measured exactly, at the same time",1927,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
298,Penicillin,"discovery of penicillin, first modern antibiotic",1928,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
299,Television,"Iconoscope–T.V. camera table) <a href=""/biographies/science-technology/vladimir-kosma-zworykin"">Vladimir Zworykin</a>, U.S., 1923, and also kinescope (cathode ray tube",1928,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
300,UK women's Suffrage,,1928,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
301,Car radio,,1929,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
302,Expanding universe theory,discovered first direct evidence that the universe is expanding,1929,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
303,H0 measured,Hubble constant: a measure of the rate at which the universe is expanding,1929,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
304,“Scotch” tape,,1929,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
305,Start of great depression,,1929,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
306,Cyclotron,,1931,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
307,Deuterium,heavy hydrogen,1931,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
308,Electric lamp (tungsten),"tungsten filament) <a href=""/search/encyclopedia/Irving+Langmuir"">Irving Langmuir</a>, U.S., 1915.<table border=""0"" class=""graphseg"" width=""179""><tbody><tr><td id=""A0193137""><img alt=""Thomas Alva Edison"" class=""b-lazy lazy_load_image"" data-src=""/images/edison.gif"" height=""242"" id=""A0198043"" src="""" width=""179""/><div class=""caption""><a href=""/search/encyclopedia/Thomas+Alva+Edison"">Thomas Alva Edison</a> (1847–1931",1931,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
309,"Radio signals, extraterrestrial",,1931,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
310,Defibrillator,,1932,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
311,Neutron,,1932,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
312,Positron,,1932,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
313,Cosmic radio waves,"cosmic sources, led to radio astronomy",1932,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
314,Hitler is appointed Chancellor of Germany,,1933,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
315,Neutron-induced radiation,,1934,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
316,Hitler becomes dictator,,1934,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
317,Nylon,nylon,1935,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
318,Richter scale,,1935,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
319,Helicopter,double rotor,1936,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
320,Jet propulsion engine,engine,1936,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
321,"Axis alliance forms (Japan, Italy, Germany)",,1936,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
322,Nuclear fission,,1938,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
323,Xerography,,1938,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
324,WW2 begins,,1939,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
325,Neptunium,"first transuranic element, synthesis of",1940,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
326,synthesis of Plutonium,,1941,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
327,Pearl Harbor bombed,,1941,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
328,Nuclear reactor,,1942,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
329,"""The Final Solution"" issued (Nazi extermination of Jews)",,1942,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
330,Aqualung (underwater-breathing apparatus),,1943,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
331,Teflon,,1943,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
332,"Computers (ENIAC, numeric calculator)","ENIAC, Electronic Numerical Integrator and Calculator, first all-electronic, completed",1945,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
333,WW2 ends,,1945,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
334,UN Formed,,1945,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
335,Holograph,,1947,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
336,Microwave oven,,1947,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
337,Carbon dating,discovered,1947,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
338,Transistor,,1947,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
339,India gains independance from UK ,,1947,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
340,Big Bang theory named,modified LeMaitre theory labeled “Big Bang”,1948,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
341,Polaroid Camera,Polaroid Land,1948,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
342,Gandhi assassinated,,1948,,https://humanhistorytimeline.com/
343,Mao Zedong comes to power,,1949,,https://humanhistorytimeline.com/
344,"Computers (UNIVAC, store numeric and alphabetic data)","UNIVAC, Universal Automatic Computer, handled both numeric and alphabetic data",1951,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
345,Oral contraceptive,,1951,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
346,"Polio, vaccine",experimentally safe dead-virus vaccine,1952,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
347,Measles vaccine,,1953,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
348,Discovery of the Double Helical Structure of DNA,,1953,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
349,Fidel Castro begins Cuban Revolution ,,1953,,https://humanhistorytimeline.com/
350,US Court rules segregated education is unconstitutional,,1954,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
351,Fiber optics,,1955,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
352,Rosa Parks refuses to leave her seat,,1955,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
353,"Heart, temporary artificial",,1957,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
354,Interferon,,1957,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
355,Pacemaker,internal,1957,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
356,Superconductivity,theory,1957,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
357,First Man-Made Satellite (Sputnik),,1957,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
358,Van Allen (radiation) Belt,around Earth,1958,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
359,Intergrated circuit (microchip) invented,phase-shift oscillator,1959,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
360,World population reaches 3 Billion,,1959,,https://humanhistorytimeline.com/
361,Laser,first working model,1960,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
362,Building of Berlin Wall,,1961,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
363,US troops arrive in Vietnam,,1961,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
364,First human in space,,1961,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
365,Seat belt,three point,1962,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
366,Quasars,,1963,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
367,"""I have a dream"" speech",,1963,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
368,JFK assasinated,,1963,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
369,Big Bang theory confirmed (cosmic microwave background),"cosmic microwave background radiation discovered, confirms theory",1965,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
370,Programma 101 (personal computer),personal computer,1965,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
371,Assassination of Malcolm X,,1965,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
372,Pulsars,,1967,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
373,Quarks,,1967,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
374,nuclear weapons in space banned,,1967,,https://humanhistorytimeline.com/
375,"Assassination of Martin Luther King, Jr.",,1968,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
376,First human on moon,,1969,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
377,Computer-scanned binary signal code (bar codes),retail trade use,1970,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
378,LCD (liquid crystal display),,1970,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
379,Compact disk,,1972,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
380,Email,,1972,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
381,Prozac,antidepressant fluoxetine,1972,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
382,Video disk,,1972,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
383,Gene transfer,recombinant DNA organism,1973,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
384,World population reaches 4 Billion,,1974,,https://humanhistorytimeline.com/
385,Home videotape systems (VCR),Betamax,1975,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
386,Cosmic string theory,first postulated,1976,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
387,Thatcher elected (1st female UK PM),,1979,,https://humanhistorytimeline.com/
388,"Heart implanted in human, permanent artificial",,1982,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
389,Chernobyl disaster,,1986,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
390,Challenger Space shuttle blows up,,1986,,https://humanhistorytimeline.com/
391,World population reaches 5 Billion,,1987,,https://humanhistorytimeline.com/
392,Gene transfer,human,1989,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
393,CERN file sytem (WWW),developed while working at CERN,1989,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
394,Demolition of Berlin Wall,,1989,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
395,Mandela released from prison,,1990,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
396,Hubble telescope launched,,1990,,https://humanhistorytimeline.com/
397,Soviet Union is dissolved,,1991,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
398,apartheid laws repealed,,1991,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
399,World Wide Web,development of Mosaic browser makes WWW available for general use,1993,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
400,Hong Kong returned to China,,1997,,https://humanhistorytimeline.com/
401,World population reaches 6 Billion,,1999,,https://humanhistorytimeline.com/
402,Toilet with flush,,2000,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
403,Wikipedia launched,,2001,,https://humanhistorytimeline.com/
404,Euro currency introduced,,2002,,https://humanhistorytimeline.com/
405,Facebook created,,2004,,https://humanhistorytimeline.com/
406,First iPhone released,,2007,,https://humanhistorytimeline.com/
407,LHC construction complete,,2008,,https://humanhistorytimeline.com/
408,World population reaches 7 Billion,,2011,,https://humanhistorytimeline.com/
409,Saudi Arabia grants women right to vote and run for office,,2015,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
410,Coronavirus pandemic begins,,2019,,https://humanhistorytimeline.com/
